book title,author
The Torrents of Spring,Ernest Hemingway
Red Aces,Edgar Wallace
Last Men in London,Olaf Stapledon
Biggles in the Cruise of the Condor,W. E. Johns
Five On Kirrin Island Again,Enid Blyton
A Backward Glance,Edith Wharton
The Narrow Corner,W. Somerset Maugham
Commodore Hornblower,C. S. Forester
The Squealer,Edgar Wallace
Thunderball,Ian Fleming
Vile Bodies,Evelyn Waugh
The Secret of Killimooin,Enid Blyton
Heaven & Hell,Aldous Huxley
Flying Colours,C. S. Forester
Lady Windermere's Fan,Oscar Wilde
The Story of Dr. Wassell,James Hilton
The Woman Who Rode Away,D. H. Lawrence
Fifty Candles,Earl Derr Biggers
Sam Steele's Adventures on Land & Sea,L. Frank Baum
Five Go Off in a Caravan,Enid Blyton
Henry VII,Charles Williams
The Murder on the Links,Agatha Christie
Till we have Faces,C. S. Lewis
Odd John,Olaf Stapledon
The Golden Peril,Lester Dent
Five Go To Smuggler's Top,Enid Blyton
Biggles in the Blue,W. E. Johns
By the Shores of Silver Lake,Laura Ingalls Wilder
The Doors of Perception,Aldous Huxley
A Passage to India,E. M. Forster
Five Run Away Together,Enid Blyton
A Myth of Shakespeare,Charles Williams
Men at Arms,Evelyn Waugh
Poirot Investigates,Agatha Christie
The Queen Who Flew,Ford Madox Ford
Mystery under the Sea,Lester Dent
Biggles in Mexico,W. E. Johns
The Secret Mountain,Enid Blyton
The Mask of Fu Manchu,Sax Rohmer
Decline and Fall,Evelyn Waugh
The Secret of Spiggy Holes,Enid Blyton
A Ship of the Line,C. S. Forester
Biggles in the Orient,W. E. Johns
Last Tales,Isak Dinesen
The Happy Return,C. S. Forester
Worms of the Earth,Robert E. Howard
The Secret Island,Enid Blyton
The Man in the Brown Suit,Agatha Christie
Chitty-Chitty-Bang-Bang (Book 3),Ian Fleming
Last And First Men,Olaf Stapledon
Pastoral,Nevil Shute
The Lost Oasis,Lester Dent
Brideshead Revisited,Evelyn Waugh
Charlie Chan Carries On,Earl Derr Biggers
Hornblower and the Atropos,C. S. Forester
Island,Aldous Huxley
The House Of Arden,Edith Nesbit
A Woman of No Importance,Oscar Wilde
They Winter Abroad,T. H. White
The Man With the Golden Gun,Ian Fleming
Five Go Adventuring Again,Enid Blyton
Soldiers' Pay,William Faulkner
The Holy Terror,H. G. Wells
Descent into Hell,Charles Williams
Five on a Treasure Island,Enid Blyton
Keeper of the Keys,Earl Derr Biggers
Blix,Frank Norris
Little Town on the Prairie,Laura Ingalls Wilder
Armance,Stendhal
Random Harvest,James Hilton
The Grain Ship,Morgan Robertson
Keep the Aspidistra Flying,George Orwell
The General,C. S. Forester
Seven Footprints to Satan,A. Merritt
The World Below,S. Fowler Wright
Cranford,Elizabeth Gaskell
The Wizard of Venus,Edgar Rice Burroughs
Eyeless in Gaza,Aldous Huxley
The Fox,D. H. Lawrence
The Man From Bar 20,Clarence E. Mulford
The Power-House,John Buchan
The Last Egyptian,L. Frank Baum
Bellarion,Rafael Sabatini
Tom Brown at Rugby,Thomas Hughes
Darkness at Pemberley,T. H. White
The Devils of Loudun,Aldous Huxley
Poo-Poo and the Dragons,C. S. Forester
The Winter's Tale,William Shakespeare
Ghost Stories of an Antiquary,M. R. James
Work of Art,Sinclair Lewis
Deluge,S. Fowler Wright
The Black Camel,Earl Derr Biggers
A Dreamer's Tales,Lord Dunsany
The Chequer Board,Nevil Shute
On the Banks of Plum Creek,Laura Ingalls Wilder
Ian Hamilton's March,Winston S. Churchill
Plain Murder,C. S. Forester
On Her Majesty's Secret Service,Ian Fleming
Home of the Gentry,Ivan Turgenev
Moran of the Lady Letty,Frank Norris
A Bride from the Bush,E. W. Hornung
The Place of the Lion,Charles Williams
Escape on Venus,Edgar Rice Burroughs
Hornblower and the Hotspur,C. S. Forester
Mistress Masham's Repose,T. H. White
Tappan's Burro,Zane Grey
The Lion and the Unicorn,George Orwell
Seeds of Life,John Taine
Lieutenant Hornblower,C. S. Forester
War In Heaven,Charles Williams
Sylvia's Lovers,Elizabeth Gaskell
Many Dimensions,Charles Williams
The Amphibians,S. Fowler Wright
Sodom and Gomorrah,Marcel Proust
Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe
The Time Stream,John Taine
The Genetic Effects of Radiation,Isaac Asimov
"30,000 on the Hoof",Zane Grey
The African Queen,C. S. Forester
Casanova: Part 30 - Old Age And Death,Giacomo Casanova
The Island of Captain Sparrow,S. Fowler Wright
King John,William Shakespeare
The Razor's Edge,W. Somerset Maugham
Rudin,Ivan Turgenev
Trustee from the Toolroom,Nevil Shute
Paris,Émile Zola
You Only Live Twice,Ian Fleming
Shadows on the Grass,Isak Dinesen
Aerita of the light country,Ray Cummings
The Shadow of the Rope,E. W. Hornung
The Tracer of Lost Persons,Robert W. Chambers
Carson of Venus,Edgar Rice Burroughs
It Can't Happen Here,Sinclair Lewis
The Shepherd of Guadaloupe,Zane Grey
Behind That Curtain,Earl Derr Biggers
Mesquite Jenkins,Clarence E. Mulford
The Long Winter,Laura Ingalls Wilder
The Blue Castle,L. M. Montgomery
The House in Dormer Forest,Mary Webb
Then and Now,W. Somerset Maugham
The Story of the Malakand Field Force,Winston S. Churchill
The Iron Star,John Taine
Measure for Measure,William Shakespeare
Casanova: Part 29 - Florence To Trieste,Giacomo Casanova
Dwellers in the Mirage,A. Merritt
The Widowing of Mrs. Holroyd,D. H. Lawrence
Antic Hay,Aldous Huxley
As I Lay Dying,William Faulkner
Rome,Émile Zola
Love Insurance,Earl Derr Biggers
